	FT01DA	FT02DA	FT04DA	MN01DA	MN02DA	MN03DA	CRV01DA	CRV02DA	CRV03DA	CRV04DA
Mrpl15|Mrpl15	2836	760	1994	2673	1568	3221	2511	2704	2093	2521
Gm39587|Gm39587	0	80	26	0	29	0	25	19	0	0
Lypla1|Lypla1	2504	27	1046	697	1356	677	1201	1355	578	1233
Xkr4|Xkr4	4021	4262	3285	7429	3806	5908	3253	5477	4741	3839
Gm39585|Gm39585	3834	4133	4482	8413	7514	10079	4606	5149	6307	4038
Tcea1|Tcea1	2661	2577	3472	2813	2582	3287	3189	2144	1848	2381
Rgs20|Rgs20	401	57	908	800	477	206	386	622	381	272
Gm16041|Gm16041	0	0	0	0	0	71	76	82	0	0
Atp6v1h|Atp6v1h	17099	8775	11736	18890	5967	12480	7821	14162	10430	6299
LOC108167788|LOC108167788	0	29	10	35	0	0	17	0	24	0
Npbwr1|Npbwr1	586	589	2355	689	706	602	1014	1600	1551	219
Oprk1|Oprk1	12777	13343	20173	15323	15977	20104	20595	18422	14313	9392
St18|St18	222	596	652	234	127	347	62	66	472	31
Rb1cc1|Rb1cc1	12882	12465	9854	13776	14540	11195	12054	13608	10457	13284
4732440D04Rik|4732440D04Rik	8168	6321	4870	5842	5174	4722	4032	5979	5315	5003
Gm26901|Gm26901	597	31	114	228	30	102	119	411	155	119
Pcmtd1|Pcmtd1	3652	2649	4975	6781	4326	3795	4073	4637	6674	3751
Rrs1|Rrs1	807	802	575	368	420	1069	631	821	149	685
Mybl1|Mybl1	335	22	103	20	55	0	398	384	233	496
Adhfe1|Adhfe1	804	153	942	114	419	162	1098	268	503	358
2610203C22Rik|2610203C22Rik	64	0	11	0	184	258	65	30	326	105
3110035E14Rik|3110035E14Rik	1068	744	580	0	1056	60	15	616	71	87
Sntg1|Sntg1	3460	3389	2068	1494	1984	1510	3119	3374	3139	2553
Sgk3|Sgk3	194	273	362	730	403	371	688	577	386	939
Vcpip1|Vcpip1	9846	6934	6734	6261	3861	4435	7176	8831	7799	5176
1700034P13Rik|1700034P13Rik	76	44	19	34	7	1	24	31	38	64
Mcmdc2|Mcmdc2	418	226	709	721	704	1546	639	298	494	318
Snhg6|Snhg6	424	258	334	916	600	659	551	485	384	727
Snord87|Snord87	36	10	21	135	34	66	38	27	30	36
Cops5|Cops5	4067	2083	2684	2199	1069	2553	2364	3000	2363	2179
Cspp1|Cspp1	6202	5448	5293	3610	6945	5392	4956	5749	3673	5550
Prex2|Prex2	0	334	144	5	488	380	698	379	1135	688
Arfgef1|Arfgef1	2879	842	2330	4058	2706	1782	3447	4605	2503	3843
Gm30898|Gm30898	0	0	185	32	341	0	28	181	59	88
Sulf1|Sulf1	961	1673	2290	3747	1000	2116	2116	3107	1533	1088
Ncoa2|Ncoa2	2464	631	1697	1632	1212	1212	1154	1634	2160	2350
A830018L16Rik|A830018L16Rik	1176	1587	1380	1989	1118	900	3543	2694	2834	1230
Lactb2|Lactb2	1912	3234	1342	1220	1537	1520	1336	1862	1562	1445
Msc|Msc	69	17	573	575	61	271	116	100	363	77
Gm39596|Gm39596	0	0	0	0	0	0	0	0	0	0
Eya1|Eya1	68	16	0	0	54	0	27	151	97	116
Trpa1|Trpa1	0	185	0	0	0	0	165	68	0	27
Tram1|Tram1	16610	6216	10909	11555	4563	10571	8567	14331	11343	6477
4930444P10Rik|4930444P10Rik	422	0	113	263	98	16	22	0	52	41
Rpl7|Rpl7	3308	1187	1912	3403	3260	4116	1831	3033	2328	1384
Rdh10|Rdh10	478	590	306	1133	92	451	562	972	701	437
Kcnb2|Kcnb2	4073	4292	2707	4763	2535	2773	4237	4093	7025	3403
Terf1|Terf1	3829	1553	2323	2938	2206	1533	1882	2547	2798	2619
Ube2w|Ube2w	3539	1996	3052	4549	2587	3951	3745	3926	3216	2327
LOC108167614|LOC108167614	1009	885	1156	303	909	538	1154	1453	1067	707
Stau2|Stau2	3728	2220	2376	3077	2296	3292	3098	2403	3965	2579
LOC102634042|LOC102634042	0	0	0	0	75	10	0	0	31	0
Tmem70|Tmem70	2611	2207	1926	4342	1147	4547	975	2435	2472	1907
Ly96|Ly96	62	81	258	45	0	60	228	92	260	213
Tceb1|Tceb1	2507	2304	2580	1554	1795	3010	3032	3406	2875	2099
Jph1|Jph1	729	218	188	102	40	33	198	119	65	446
Gm28784|Gm28784	5	0	0	0	0	0	53	0	0	60
Gm28154|Gm28154	50	0	27	0	0	82	0	9	12	46
Pi15|Pi15	18	0	38	0	67	18	210	113	63	73
Gdap1|Gdap1	6797	4745	7087	7135	5688	10974	6555	7363	8179	5049
Tfap2b|Tfap2b	0	0	0	0	0	0	13	0	61	0
Crispld1|Crispld1	185	422	346	571	194	26	41	334	333	16
Gm16070|Gm16070	89	0	72	21	0	17	11	8	81	151
Gm28153|Gm28153	122	0	86	40	95	133	64	156	71	133
Paqr8|Paqr8	7178	5926	6430	5897	1891	4505	2159	10113	7909	2895
6720483E21Rik|6720483E21Rik	306	0	8	245	11	0	164	86	139	0
Tmem14a|Tmem14a	1783	1302	1458	1424	776	2896	1524	1677	1637	968
Gm28836|Gm28836	0	0	0	0	0	179	0	49	22	0
Gsta3|Gsta3	124	116	23	359	188	32	176	196	197	167
Gm32947|Gm32947	119	0	71	0	5	0	24	257	54	180
Kcnq5|Kcnq5	457	213	1442	201	903	1035	634	971	2241	508
Mir30c-2|Mir30c-2	0	0	0	0	0	0	1	1	0	0
Rims1|Rims1	1965	1234	1098	1542	1352	1510	1418	1767	2045	1628
Ogfrl1|Ogfrl1	1133	999	1187	837	1378	1988	1837	1393	1925	1367
Gm26524|Gm26524	0	0	13	0	0	0	0	0	3	0
Sdhaf4|Sdhaf4	911	26	682	449	568	443	653	741	567	387
Smap1|Smap1	796	539	567	323	672	946	858	685	365	374
B3gat2|B3gat2	2043	1721	707	643	1096	597	1610	1690	1701	698
Fam135a|Fam135a	5666	1634	2531	2171	1966	2019	2341	3289	2083	3074
Col19a1|Col19a1	1103	364	1531	1493	213	173	1051	3033	2358	1700
Lmbrd1|Lmbrd1	22263	18268	27997	38659	11595	17555	18904	39522	25671	15168
Gm7846|Gm7846	27	26	13	9	3	14	24	16	8	23
