	FT01DA	FT02DA	FT04DA	FT01nDA	FT02nDA	FT04nDA
Mrpl15|Mrpl15	2836	760	1994	1787	1825	1752
Gm39587|Gm39587	0	80	26	18	25	16
Lypla1|Lypla1	2504	27	1046	470	763	732
Xkr4|Xkr4	4021	4262	3285	2740	3436	3875
Gm39585|Gm39585	3834	4133	4482	10214	14056	8666
Tcea1|Tcea1	2661	2577	3472	1639	2304	1329
Rgs20|Rgs20	401	57	908	506	398	461
Gm16041|Gm16041	0	0	0	139	116	99
Atp6v1h|Atp6v1h	17099	8775	11736	3882	4837	4785
LOC108167788|LOC108167788	0	29	10	22	49	5
Npbwr1|Npbwr1	586	589	2355	110	63	96
Oprk1|Oprk1	12777	13343	20173	1628	1657	1328
St18|St18	222	596	652	2077	2428	1844
Rb1cc1|Rb1cc1	12882	12465	9854	9193	10715	8399
4732440D04Rik|4732440D04Rik	8168	6321	4870	3340	3900	2587
Gm26901|Gm26901	597	31	114	180	287	194
Pcmtd1|Pcmtd1	3652	2649	4975	3912	5561	4293
Rrs1|Rrs1	807	802	575	846	886	587
Mybl1|Mybl1	335	22	103	136	149	182
Adhfe1|Adhfe1	804	153	942	884	1300	514
2610203C22Rik|2610203C22Rik	64	0	11	129	253	121
3110035E14Rik|3110035E14Rik	1068	744	580	388	616	445
Sntg1|Sntg1	3460	3389	2068	1955	1228	1188
Sgk3|Sgk3	194	273	362	1219	1614	1358
Vcpip1|Vcpip1	9846	6934	6734	4072	4185	5014
1700034P13Rik|1700034P13Rik	76	44	19	43	33	23
Mcmdc2|Mcmdc2	418	226	709	808	1095	1126
Snhg6|Snhg6	424	258	334	188	489	370
Snord87|Snord87	36	10	21	20	33	18
Cops5|Cops5	4067	2083	2684	1404	1723	1290
Cspp1|Cspp1	6202	5448	5293	5223	6509	5356
Prex2|Prex2	0	334	144	1625	1755	1701
Arfgef1|Arfgef1	2879	842	2330	2742	3161	2439
Gm30898|Gm30898	0	0	185	180	266	136
Sulf1|Sulf1	961	1673	2290	1647	1536	1462
Ncoa2|Ncoa2	2464	631	1697	2583	2418	2712
A830018L16Rik|A830018L16Rik	1176	1587	1380	2377	2493	2453
Lactb2|Lactb2	1912	3234	1342	872	1014	916
Msc|Msc	69	17	573	204	160	135
Gm39596|Gm39596	0	0	0	0	0	0
Eya1|Eya1	68	16	0	149	239	285
Trpa1|Trpa1	0	185	0	9	0	0
Tram1|Tram1	16610	6216	10909	4198	7117	7219
4930444P10Rik|4930444P10Rik	422	0	113	64	46	52
Rpl7|Rpl7	3308	1187	1912	1237	2377	1319
Rdh10|Rdh10	478	590	306	595	820	426
Kcnb2|Kcnb2	4073	4292	2707	2547	2065	2308
Terf1|Terf1	3829	1553	2323	1732	2287	1726
Ube2w|Ube2w	3539	1996	3052	2321	3585	2626
LOC108167614|LOC108167614	1009	885	1156	1206	773	1359
Stau2|Stau2	3728	2220	2376	3326	3182	2349
LOC102634042|LOC102634042	0	0	0	68	69	83
Tmem70|Tmem70	2611	2207	1926	1611	2051	1585
Ly96|Ly96	62	81	258	104	289	156
Tceb1|Tceb1	2507	2304	2580	2015	2215	2283
Jph1|Jph1	729	218	188	945	618	657
Gm28784|Gm28784	5	0	0	21	16	7
Gm28154|Gm28154	50	0	27	25	63	19
Pi15|Pi15	18	0	38	90	84	57
Gdap1|Gdap1	6797	4745	7087	5246	7131	4171
Tfap2b|Tfap2b	0	0	0	19	146	57
Crispld1|Crispld1	185	422	346	308	269	343
Gm16070|Gm16070	89	0	72	66	53	52
Gm28153|Gm28153	122	0	86	68	99	25
