gene_id,CRV01DA,CRV02DA,CRV03DA,CRV04DA,FT01DA,FT01nDA,FT02DA,FT02nDA,FT03DA,FT03nDA,FT04DA,FT04nDA,MN01DA,MN02DA,MN03DA
Mrpl15|Mrpl15,2511,2704,2093,2521,2836,1787,760,1825,1704,1171,1994,1752,2673,1568,3221
Gm39587|Gm39587,25,19,0,0,0,18,80,25,74,17,26,16,0,29,0
Lypla1|Lypla1,1201,1355,578,1233,2504,470,27,763,665,432,1046,732,697,1356,677
Xkr4|Xkr4,3253,5477,4741,3839,4021,2740,4262,3436,5191,4086,3285,3875,7429,3806,5908
Gm39585|Gm39585,4606,5149,6307,4038,3834,10214,4133,14056,4295,11691,4482,8666,8413,7514,10079
Tcea1|Tcea1,3189,2144,1848,2381,2661,1639,2577,2304,1732,1519,3472,1329,2813,2582,3287
Rgs20|Rgs20,386,622,381,272,401,506,57,398,597,554,908,461,800,477,206
Gm16041|Gm16041,76,82,0,0,0,139,0,116,656,81,0,99,0,0,71
Atp6v1h|Atp6v1h,7821,14162,10430,6299,17099,3882,8775,4837,2782,2618,11736,4785,18890,5967,12480
LOC108167788|LOC108167788,17,0,24,0,0,22,29,49,0,34,10,5,35,0,0
Npbwr1|Npbwr1,1014,1600,1551,219,586,110,589,63,623,6,2355,96,689,706,602
Oprk1|Oprk1,20595,18422,14313,9392,12777,1628,13343,1657,11852,992,20173,1328,15323,15977,20104
St18|St18,62,66,472,31,222,2077,596,2428,10,1895,652,1844,234,127,347
Rb1cc1|Rb1cc1,12054,13608,10457,13284,12882,9193,12465,10715,7401,8656,9854,8399,13776,14540,11195
4732440D04Rik|4732440D04Rik,4032,5979,5315,5003,8168,3340,6321,3900,3828,2747,4870,2587,5842,5174,4722
Gm26901|Gm26901,119,411,155,119,597,180,31,287,200,384,114,194,228,30,102
Pcmtd1|Pcmtd1,4073,4637,6674,3751,3652,3912,2649,5561,1760,3869,4975,4293,6781,4326,3795
Rrs1|Rrs1,631,821,149,685,807,846,802,886,892,689,575,587,368,420,1069
Mybl1|Mybl1,398,384,233,496,335,136,22,149,0,175,103,182,20,55,0
Adhfe1|Adhfe1,1098,268,503,358,804,884,153,1300,197,648,942,514,114,419,162
2610203C22Rik|2610203C22Rik,65,30,326,105,64,129,0,253,48,129,11,121,0,184,258
3110035E14Rik|3110035E14Rik,15,616,71,87,1068,388,744,616,669,447,580,445,0,1056,60
Sntg1|Sntg1,3119,3374,3139,2553,3460,1955,3389,1228,1372,1673,2068,1188,1494,1984,1510
