	ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Comparison
GO:0005344	MF	GO:0005344	oxygen carrier activity	2/50	11/20962	0.00030249333745054	0.0208720402840873	0.0168759440893459	Hba-a1/Hbb-bt	2	Craving_vs_FoodTrained
GO:0046974	MF	GO:0046974	histone methyltransferase activity (H3-K9 specific)	2/50	11/20962	0.00030249333745054	0.0208720402840873	0.0168759440893459	Ash1l/Setdb1	2	Craving_vs_FoodTrained
GO:0016209	MF	GO:0016209	antioxidant activity	3/50	75/20962	0.000764086843663001	0.032975154995032	0.0266618339395377	Hba-a1/Nxn/Hbb-bt	3	Craving_vs_FoodTrained
GO:0008170	MF	GO:0008170	N-methyltransferase activity	3/50	81/20962	0.000955801594058898	0.032975154995032	0.0266618339395377	Pemt/Ash1l/Setdb1	3	Craving_vs_FoodTrained
GO:0019825	MF	GO:0019825	oxygen binding	2/50	23/20962	0.0013662464650777	0.0377084024361447	0.0304888684838393	Hba-a1/Hbb-bt	2	Craving_vs_FoodTrained
GO:0051087	MF	GO:0051087	chaperone binding	3/50	106/20962	0.00207274012888572	0.0476730229643715	0.0385456936248923	Sdf2l1/Tfrc/H2-K1	3	Craving_vs_FoodTrained
GO:0031346	BP	GO:0031346	positive regulation of cell projection organization	36/660	429/21359	6.64653459019541e-08	0.00029523906649648	0.000265791420085814	Arpc2/Obsl1/Cd24a/Palm/Cobl/Dlg4/Itga3/Mapt/Sphk1/Hnrnpk/Plxnb2/Twf1/Opa1/Ptk7/Ppp2r5b/Caprin1/Src/Mfn1/Ptprd/Wrap73/Ppp1r35/Fscn1/Rac1/Met/Megf8/Ap2a1/Ptpn5/Rgma/Apbb1/Cx3cl1/Katnb1/Ndrg4/Trim67/Sema7a/Map2k1/Golga4	36	Maintenance_vs_FoodTrained
GO:0010976	BP	GO:0010976	positive regulation of neuron projection development	22/660	222/21359	1.64809921442248e-06	0.00366042835523234	0.0032953310082058	Cd24a/Cobl/Itga3/Mapt/Sphk1/Hnrnpk/Plxnb2/Twf1/Opa1/Ptk7/Ppp2r5b/Caprin1/Mfn1/Met/Ap2a1/Ptpn5/Rgma/Apbb1/Cx3cl1/Katnb1/Ndrg4/Trim67	22	Maintenance_vs_FoodTrained
GO:0098742	BP	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	21/660	213/21359	3.06947526585192e-06	0.00454486971030474	0.00409155667893734	Obsl1/Cadm3/Cd24a/Cdh24/Pcdh8/Plxnb2/Igsf11/Ptprs/Pcdha4/Mbp/Cdh22/Fat4/Ptprd/Clstn3/Nectin2/Cadm4/Lrrc4b/Ric8a/Cx3cl1/Cdh13/Pcdh19	21	Maintenance_vs_FoodTrained
GO:0046777	BP	GO:0046777	protein autophosphorylation	22/660	241/21359	6.33325016776205e-06	0.0056489400077377	0.00508550512794036	Clk1/Mapkapk2/Cdk12/Aatk/Calm1/Map3k1/Pim3/Acvr1b/Dyrk1a/Ddr1/Ppp2r5b/Map3k11/Stk39/Csnk2a1/Src/Jun/Epha8/Pink1/Atp13a2/Met/Calm3/Ulk3	22	Maintenance_vs_FoodTrained
