	names(gene_matrix)
1	78119
2	98376
3	11910
4	16404
5	15122
6	110257
7	103806
8	21408
9	18618
10	18230
11	20698
12	328099
13	105351
14	211446
15	320679
16	100134861
17	64136
18	22042
19	213773
20	12575
21	240063
22	14972
23	14998
24	224912
25	72692
26	225372
27	226251
28	74194
29	70470
30	229445
31	192195
32	76742
33	84505
34	67615
35	102642011
36	74114
37	100042049
38	59056
39	17089
40	72898
41	100710
42	66979
43	243846
44	233107
45	101488143
46	100503605
47	70885
48	69550
49	13018
50	12308
51	72325
52	74840
53	22221
54	72584
