	names(gene_matrix3)
1	105243853
2	19989
3	67503
4	100534273
5	20353
6	73884
7	93691
8	17756
9	76709
10	69171
11	56812
12	245860
13	19711
14	74241
15	319998
16	20536
17	13838
18	16367
19	13599
20	53972
21	14733
22	100037260
23	51800
24	67026
25	226359
26	67812
27	17164
28	13714
29	16980
30	13007
31	215690
32	269132
33	100039795
34	30941
35	140559
36	226751
37	107508
38	226856
39	19272
40	19072
41	338359
42	13654
43	104248
44	333670
45	64451
46	216134
47	18483
48	216152
49	100503659
50	23805
51	66932
52	73218
53	208666
54	106947
55	52551
56	16969
57	73822
58	103425
59	21665
60	103266
61	237459
62	382423
63	80904
64	16404
65	170835
66	103710
67	11764
68	21379
69	68585
70	22210
71	216760
72	73158
73	108660
74	19377
75	20787
76	22671
77	22187
78	71923
79	75273
80	50932
81	432582
82	22627
83	18230
84	14252
85	195040
86	12569
87	276952
88	18121
89	76626
90	94064
91	217119
92	217124
93	18023
94	102632994
95	16211
96	69131
97	19049
98	59045
99	66612
100	23989
101	70110
102	26949
103	68066
104	102637702
105	11488
106	353047
107	207165
108	14813
109	320534
110	74136
111	19157
112	76025
113	11302
114	192662
115	21681
116	19719
117	80879
118	104318
119	75302
120	104721
121	20666
122	79221
123	11861
124	627191
125	73422
126	320244
127	238328
128	68737
129	238330
130	71375
131	12313
132	73046
133	13116
134	13386
135	15519
136	449562
137	104885
138	69195
139	56044
140	66707
141	218100
142	56795
143	105239
144	102633503
145	107448
146	432763
147	102633572
148	70153
149	71508
150	78038
151	238871
152	73274
153	105083
154	72465
155	218832
156	77592
157	64652
158	104416
159	65107
160	239096
161	268749
162	71330
163	70478
164	68177
165	219151
166	105513
167	20410
168	105653
169	13829
170	67302
171	219181
172	18530
173	52023
174	14169
175	71175
176	22631
177	76740
178	223604
179	107831
180	109075
181	16581
182	73062
183	223664
184	106039
185	110253
186	223693
187	494448
188	52609
189	20972
190	223739
191	223775
192	406218
193	77980
194	60597
195	11883
196	19230
197	102632845
198	319722
199	66120
200	14555
201	11479
202	21357
203	26404
204	29813
205	12914
206	66626
207	74022
208	268860
209	106298
210	70120
211	77626
212	94112
213	13358
214	27801
215	328643
216	107522
217	12724
218	78408
219	20440
220	100047123
221	13383
222	239833
223	106326
224	268903
225	105246157
226	50914
227	22129
228	320586
229	240025
230	19170
231	76498
232	75956
233	268932
234	50817
235	214951
236	21652
237	19015
238	12575
239	208292
240	224705
241	19763
242	55979
243	12915
244	22321
245	193742
246	12305
247	52040
248	224805
249	15516
250	224813
251	106763
252	78309
253	224826
254	18044
255	12445
256	19280
257	622645
258	66310
259	72692
260	210741
261	12314
262	108013
263	30948
264	15200
265	225372
266	225392
267	319262
268	12936
269	93708
270	76217
271	240332
272	102632394
273	74322
274	100502841
275	66387
276	18739
277	19367
278	18563
279	20743
280	381199
281	16594
282	225849
283	22668
284	18190
285	26379
286	107227
287	70999
288	654802
289	74126
290	68505
291	56473
292	14704
293	269060
294	13194
295	98170
296	208518
297	83410
298	75735
299	102635432
300	319594
301	226154
302	18742
303	56350
304	226178
305	226180
306	18572
307	13006
308	107368
309	208618
310	67122
311	56876
312	227619
313	100272219
314	14810
315	67991
316	67839
317	20930
