	names(gene_matrix2)
1	105243853
2	73824
3	19989
4	100534273
5	20353
6	78119
7	12747
8	227154
9	72750
10	320933
11	76709
12	69171
13	56812
14	245860
15	98733
16	19711
17	74241
18	319998
19	20536
20	66153
21	13599
22	53972
23	66385
24	51800
25	67026
26	18484
27	81879
28	226359
29	105246702
30	17164
31	213452
32	16980
33	70579
34	215690
35	67886
36	269132
37	14455
38	98376
39	271639
40	100039795
41	30941
42	140559
43	54418
44	94332
45	226751
46	107508
47	226830
48	226856
49	12484
50	19072
51	216011
52	30045
53	104248
54	333670
55	18483
56	216152
57	100503659
58	66043
59	23805
60	66932
61	73218
62	208666
63	106947
64	52551
65	73822
66	57267
67	103425
68	21665
69	102641476
70	103266
71	382423
72	69181
73	380664
74	80904
75	16404
76	71523
77	170835
78	103710
79	11764
80	56418
81	192950
82	12808
83	216551
84	68585
85	103806
86	21408
87	22210
88	15525
89	73158
90	108660
91	18618
92	19377
93	20787
94	22671
95	71923
96	13385
97	75273
98	103712
99	55984
100	12874
101	68550
102	12569
103	276952
104	327992
105	76626
106	94064
107	16400
108	18023
109	69131
110	19049
111	59045
112	66612
113	22123
114	23989
115	12799
116	69684
117	26949
118	68066
119	11488
120	12921
121	17762
122	207165
123	14813
124	320534
125	217310
126	71947
127	20698
128	19157
129	19039
130	76025
131	11302
132	192662
133	21681
134	19719
135	80879
136	75302
137	217410
138	19878
139	16777
140	11861
141	246196
142	238252
143	67217
144	17187
145	73422
146	320244
147	238328
148	68737
149	238330
150	12313
151	52690
152	13116
153	15519
154	12709
155	217882
156	104885
157	218100
158	218194
159	14057
160	56795
161	105239
162	107448
163	432763
164	15387
165	71508
166	14088
167	56541
168	212569
169	238722
170	66975
171	26401
172	105083
173	72465
174	545007
175	100038847
176	105245677
177	67725
178	77592
179	104416
180	24131
181	65107
182	239096
183	268749
184	71330
185	70478
186	219151
187	20410
188	67065
189	13829
190	219181
191	18530
192	14169
193	414066
194	68646
195	223453
196	22631
197	211401
198	223604
199	76510
200	107831
201	23934
202	109075
203	16581
204	223664
205	239554
206	207393
207	110253
208	223693
209	494448
210	105245994
211	20972
212	239555
213	223739
214	223775
215	140570
216	77980
217	100134861
218	60597
219	26874
220	19230
221	102632845
222	319722
223	22410
224	14555
225	11479
226	18521
227	29813
228	74120
229	12914
230	268860
231	70120
232	64136
233	94112
234	27801
235	12724
236	104156
237	74143
238	66849
239	100047123
240	207683
241	320007
242	76302
243	73379
244	105246157
245	67367
246	50914
247	54720
248	13548
249	22129
250	66616
251	380608
252	106489
253	213811
254	76498
255	75956
256	75614
257	50817
258	214951
259	21652
260	70101
261	240063
262	208292
263	14972
264	224705
265	55979
266	12915
267	22321
268	12305
269	14964
270	15040
271	54393
272	11571
273	224807
274	71461
275	18044
276	12445
277	211468
278	271457
279	19280
280	224912
281	224938
282	622645
283	57440
284	72416
285	18754
286	210741
287	225187
288	26405
289	73516
290	12936
291	93708
292	20496
293	240332
294	104082
295	74322
296	17196
297	329003
298	54445
299	66387
300	18739
301	19367
302	18563
303	20743
304	66704
305	381199
306	16594
307	545276
308	225849
309	22668
310	18190
311	26379
312	26403
313	74126
314	68505
315	56473
316	225912
317	98170
318	208518
319	225995
320	83410
321	102635432
322	72672
323	319594
324	226154
325	94280
326	18742
327	226178
328	226180
329	58178
330	170750
331	13006
332	100503572
333	53611
334	226251
335	209361
336	74455
337	100034739
338	67122
339	56876
340	227619
341	11305
342	20930
343	56086
344	74270
345	227721
346	227731
347	50935
348	100504399
349	227743
350	68365
351	74194
352	16574
353	227937
354	100038743
355	53416
356	53375
357	83435
358	18012
359	69082
360	269295
361	67136
362	77038
363	12953
364	80985
365	53872
366	228564
367	105244282
368	69470
369	77721
370	228598
371	69596
