baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,description,entrez,ensembl
50.670948539990484,31.240484124426906,3.6786347281359255,8.492412656653572,2.023909042005659e-17,2.2283238552482305e-14,Dbh,dopamine beta hydroxylase,13166,
36.90587343217127,25.701652208352815,3.678819663577138,6.9863854602107756,2.8205847257938716e-12,7.879534972042372e-10,4930563I02Rik,RIKEN cDNA 4930563I02 gene,67659,
135.30472107326355,24.593910953664093,2.8658501595059662,8.581715576470945,9.346851930089904e-18,1.1663001838366182e-14,Spsb1,splA/ryanodine receptor domain and SOCS box containing 1,74646,
172.51997585279577,24.389018220400747,2.472068317406058,9.865835037274435,5.854526296489229e-23,3.65263895637963e-19,Tmem204,transmembrane protein 204,407831,
125.84603656804033,24.339481487516117,2.4866896587128546,9.78790473601542,1.2689819391084736e-22,5.937883738573325e-19,Jrk,jerky,16469,
110.95017667682042,24.338514625247385,2.9811169721863124,8.164226648039858,3.2350100248152473e-16,2.522903443102791e-13,Bmf,BCL2 modifying factor,171543,
115.20858797327448,24.13852654069993,2.55666841306292,9.441398977422216,3.678350009255375e-21,9.998108648104377e-18,Ikzf1,IKAROS family zinc finger 1,22778,
129.45769250818594,24.03266002526156,3.59292275055437,6.6888885995540655,2.2487182475888144e-11,5.0709951132674506e-9,Snx33,sorting nexin 33,235406,
80.35441156113495,23.859041891591897,3.0770621976154047,7.753838030989969,8.91560305065493e-15,4.9080394793855394e-12,Ptk2b,PTK2 protein tyrosine kinase 2 beta,19229,
97.91148163363981,23.789877680562096,3.678503774953352,6.467270155476131,9.978915574189613e-11,1.8677536280210696e-8,Htra3,HtrA serine peptidase 3,78558,
74.0155943330151,23.788616778016138,3.1221990325343985,7.619186518902379,2.552793682722389e-14,1.225144598961922e-11,Gm30042,"predicted gene, 30042",102631796,
74.9887157905702,23.735018288387543,2.6208965434073663,9.05606837022655,1.352373215844026e-19,2.8124854978836257e-16,Atp10b,"ATPase, class V, type 10B",319767,
127.3048668728396,23.702961321587996,3.0563863798141835,7.755224103252627,8.818760373451643e-15,4.9080394793855394e-12,Nkd1,naked cuticle 1,93960,
95.08230710953102,23.654800059364543,3.133201818846673,7.549721156510704,4.36191114237184e-14,1.9438545440898507e-11,Dtx3l,"deltex 3-like, E3 ubiquitin ligase",209200,
117.3185486495835,23.639595904087518,3.082656115651352,7.6685802818108275,1.7391049753617335e-14,8.566007322064623e-12,Col18a1,"collagen, type XVIII, alpha 1",12822,
75.39433104806895,23.56710688358994,3.112124552700589,7.572674706460337,3.656170179702837e-14,1.71081343133745e-11,Gm36607,"predicted gene, 36607",102640576,
136.4059148342379,23.53376001192262,3.6063448483905916,6.525654367863646,6.770528600438112e-11,1.2931018756571444e-8,Plekho2,"pleckstrin homology domain containing, family O member 2",102595,
71.1975195321449,23.497534728793887,3.209912463686162,7.320303900689573,2.4741001307440354e-13,8.737307952289833e-11,Cyp1b1,"cytochrome P450, family 1, subfamily b, polypeptide 1",13078,
83.34313462011387,23.492757232323516,2.64144708307914,8.893896600396008,5.900260080767509e-19,1.1043516793172547e-15,6530402F18Rik,RIKEN cDNA 6530402F18 gene,76220,
74.52720512207621,23.453547272898437,3.6786090510294502,6.375656381950948,1.8218098408858694e-10,3.157297665913039e-8,Tie1,tyrosine kinase with immunoglobulin-like and EGF-like domains 1,21846,
62.25418357719409,23.419310478350866,3.1775269344410093,7.37029487445424,1.702510375970381e-13,6.503242185109719e-11,Trip10,thyroid hormone receptor interactor 10,106628,
75.32001010998287,23.370156618592027,2.697908807410144,8.662322667987505,4.622477293497788e-18,6.179921964457007e-15,Gm39256,"predicted gene, 39256",105243294,
80.85216959142059,23.335202069719287,3.1650235419091564,7.372836808551316,1.6703491042922337e-13,6.503242185109719e-11,Best3,bestrophin 3,382427,
153.74171130424418,23.30467343051226,3.56499469556633,6.537085022733845,6.272939231019141e-11,1.223027120697763e-8,Il1rl2,interleukin 1 receptor-like 2,107527,
55.75077865832695,23.304645836356446,3.264097674713022,7.139690094722849,9.35415733474864e-13,2.779075600547465e-10,Arhgap11a,Rho GTPase activating protein 11A,228482,
69.82344665063316,23.302764220432465,2.6592572273147255,8.76288460592555,1.9031645314290443e-18,2.968460877896452e-15,Casq2,calsequestrin 2,12373,
77.34528932124915,23.300062940133355,2.6396015145902587,8.827113794011513,1.0741150312605198e-18,1.8276555491002862e-15,Smtn,smoothelin,29856,
62.60031821972247,23.289594891217945,3.212132807534941,7.250508085028674,4.152110915844388e-13,1.3172044069806682e-10,Cnksr3,Cnksr family member 3,215748,
66.45453355621399,23.274843392922957,3.1620312339240533,7.360725328458909,1.829135921555198e-13,6.847187408749728e-11,Uaca,uveal autoantigen with coiled-coil domains and ankyrin repeats,72565,
65.61419123985145,23.234494464381022,2.7316347200903777,8.50571062576489,1.8048662807958305e-17,2.1113551361034726e-14,Gm16596,"predicted gene, 16596",100504467,
58.24488449514207,23.223475157147032,3.2019146736286648,7.2529962613989145,4.0765133992258063e-13,1.3155189878156796e-10,Agmo,alkylglycerol monooxygenase,319660,
53.67098044454484,23.21687545771481,3.6787169833954576,6.311133898722924,2.769984014600051e-10,4.50832963489297e-8,Ldlrap1,low density lipoprotein receptor adaptor protein 1,100017,
78.81469568447989,23.201689608269547,3.1594670171127865,7.343545440607869,2.080087308537005e-13,7.633920422330808e-11,Mx1,MX dynamin-like GTPase 1,17857,
65.86621629903959,23.18679437272146,3.1815471114964207,7.287899113276276,3.1482557055323914e-13,1.0713800370990868e-10,Cbr3,carbonyl reductase 3,109857,
53.1176012802601,23.176080213111973,2.881932063190022,8.041855153052525,8.848845369285504e-16,6.134216250996918e-13,Lhx3,LIM homeobox protein 3,16871,
59.9794754771265,23.112072995688138,2.763963096982284,8.361932552906396,6.169911661934223e-17,5.249192571655584e-14,Gm34069,"predicted gene, 34069",102637194,
62.31849445617051,23.10745676587635,3.67873875916702,6.281353006732283,3.35639054539823e-10,5.2791228435477875e-8,Lpxn,leupaxin,107321,
59.27838601250287,23.053524880690617,2.6553559843892405,8.68189614357608,3.892247567222498e-18,5.603938285823345e-15,Cited4,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4",56222,
73.95532826133675,23.040223080093714,2.770416300743084,8.316520182874264,9.05835729628816e-17,7.371533631070673e-14,Arhgef19,Rho guanine nucleotide exchange factor (GEF) 19,213649,
50.99874319515955,23.028597047561874,2.7202957503591483,8.465475507404484,2.5510972162640554e-17,2.59536723239936e-14,Gm41941,"predicted gene, 41941",105246694,
45.360178894862585,23.019587227616828,3.4950964788698253,6.586252301412991,4.510670751665758e-11,9.27760708339868e-9,F13a1,"coagulation factor XIII, A1 subunit",74145,
63.38122214452741,22.936128656885483,3.2294971255262928,7.102074337083583,1.228980900035187e-12,3.5941930478060305e-10,Ltbr,lymphotoxin B receptor,17000,
49.771406873155755,22.926346642507582,3.2906675592967933,6.967080760782435,3.2358493830975564e-12,8.906675426976024e-10,Gm35362,"predicted gene, 35362",102638916,
45.42938677619737,22.903431659333513,3.4191529818392143,6.698568850526661,2.1047055593479746e-11,4.80411877491659e-9,Baz1a,bromodomain adjacent to zinc finger domain 1A,217578,
44.44057527070766,22.899100926178715,3.350453824006832,6.834626629413896,8.221888306385264e-12,2.024856360929118e-9,Stard8,START domain containing 8,236920,
46.431985798496584,22.891199746051072,3.3070352957752855,6.92197019345225,4.454049778558618e-12,1.1612492158686869e-09,Rilp,Rab interacting lysosomal protein,280408,
60.97524573028876,22.854144659967734,2.835933556818204,8.058772958562932,7.706407893883631e-16,5.769633461992797e-13,Atp2c2,"ATPase, Ca++ transporting, type 2C, member 2",69047,
46.507554137660605,22.85304455011571,3.282942715157577,6.961146304686219,3.375150262586312e-12,9.155461951424347e-10,Gm7233,predicted gene 7233,638262,
52.249802267382144,22.83822364864984,3.299578867211514,6.921557134335299,4.467059012798283e-12,1.1612492158686869e-09,Gm36803,"predicted gene, 36803",102640827,
58.288795039237286,22.837683052599964,2.6989407795115214,8.461720696492398,2.6346090407430594e-17,2.59536723239936e-14,Dmrta2os,"doublesex and mab-3 related transcription factor like family A2, opposite strand",77453,
2830.7463594399037,-1.3330514369373931,0.26880174291022785,-4.959236582712912,7.077073839911065e-7,4.286782882252925e-5,Gm26910,"predicted gene, 26910",102632394,
1950.4001068364269,-1.3375347418062113,0.41835311831758504,-3.19714299533641,0.0013879610217970074,0.029255029780376786,Hipk1,homeodomain interacting protein kinase 1,15257,
2544.8057987128095,-1.3476090670827618,0.3936314483677964,-3.4235299864140933,6.181343155045167e-4,0.015508873972249383,Gpbp1,GC-rich promoter binding protein 1,73274,
645.973748562533,-1.3533549222963825,0.43518835563585756,-3.1098141868225855,0.0018720506986008164,0.036922205401171214,Gm33834,"predicted gene, 33834",102636884,
1933.6053413400577,-1.3694603959083775,0.41964428166664086,-3.2633839080792155,0.0011009027756718403,0.024443175862692568,N4bp2,NEDD4 binding protein 2,333789,
455.6187654423058,-1.3769982720336356,0.40506978956581385,-3.3994099473811965,6.753141391805866e-4,0.016522685938618352,1700066B19Rik,NA,NA,
2874.9467533366633,-1.3879327493495692,0.3602585823963739,-3.852601484515082,1.1686951391886999e-4,0.004077181759727679,Ildr2,immunoglobulin-like domain containing receptor 2,100039795,
13368.925502464137,-1.3954026976290446,0.2730286632514571,-5.110828588513033,3.2074890885781146e-7,2.0419922881264138e-5,Qk,NA,NA,
925.7303490701042,-1.4277490474328447,0.4086068101816092,-3.4941880846241107,4.7550589143825674e-4,0.012500061474789118,Hdac8,histone deacetylase 8,70315,
1994.3517093717462,-1.4325075296576368,0.44086030233141815,-3.249345704482924,0.0011567081037721402,0.025440782113164688,Cebpg,"CCAAT/enhancer binding protein (C/EBP), gamma",12611,
4200.39188110223,-1.4363661117685678,0.2618758834794732,-5.484911755462031,4.13675864998458e-8,3.1347251680875053e-6,Ajap1,adherens junction associated protein 1,230959,
211.12999676574248,-1.4555668352258184,0.4676825456741212,-3.1122966822029956,0.0018563783573864443,0.03665172332827223,Gm11592,predicted gene 11592,102632994,
2181.416885520282,-1.459611850659024,0.3410307315061711,-4.280000937782383,1.8689252590269708e-5,8.173054690001826e-4,Cdr1,cerebellar degeneration related antigen 1,631990,
387.2368869918362,-1.462038026332231,0.4582769737251386,-3.190293447318432,0.0014212839781416855,0.02975833113074842,Gm31364,"predicted gene, 31364",102633572,
1637.4378102394792,-1.4661543868607771,0.3343809355357195,-4.384682950036661,1.1615482787161208e-5,5.34169511860679e-4,F630111L10Rik,RIKEN cDNA F630111L10 gene,320463,
21544.685136381337,-1.5337663509651733,0.2592015907435858,-5.91727213774103,3.27324865729626e-9,3.4613217581137905e-7,Zc3h13,zinc finger CCCH type containing 13,67302,
830.9571882977608,-1.5853822563461606,0.4230675696141454,-3.747349998469731,1.787126426258055e-4,0.005747361738878353,Rab27a,"RAB27A, member RAS oncogene family",11891,
7225.664064392749,-1.6017253194028067,0.23070200332671403,-6.9428322958014625,3.8431556342413e-12,1.0276049143727772e-9,E330033B04Rik,RIKEN cDNA E330033B04 gene,319722,
5346.267046798293,-1.6261742965109698,0.17227007233310981,-9.43967965234565,3.739208235119445e-21,9.998108648104377e-18,Prr14,proline rich 14,233895,
624.5692267865041,-1.6475430302084189,0.44411893802683483,-3.7096887548372686,2.0751419856781053e-4,0.006462634367044443,LOC108168412,NA,NA,
325.6190572587029,-1.6688100381323396,0.5149173285819512,-3.2409280975805066,0.0011914123095410544,0.02602061166590422,Kif15,kinesin family member 15,209737,
1033.165536008774,-1.6788043900633527,0.5056972664001769,-3.3197814218257076,9.008795324430548e-4,0.020788365256817935,Gm35314,"predicted gene, 35314",102638846,
832.8461813475118,-1.6964491884312631,0.5664141811442063,-2.99506835263956,0.002743833474658382,0.04909783092273512,Egln1,egl-9 family hypoxia-inducible factor 1,112405,
997.4845446332936,-1.715361436178859,0.41287501932652665,-4.154674794752469,3.257505152702334e-5,0.001340015910838013,Gm41491,"predicted gene, 41491",105246157,
4655.856880406059,-1.778278656147345,0.4221811204156547,-4.212122641572783,2.529821184791772e-5,0.0010712819709445156,Ankrd11,ankyrin repeat domain 11,77087,
604.4281331347199,-1.7856608445717919,0.5179868831163603,-3.447309001009321,5.662005946143181e-4,0.014497368713264285,6330549D23Rik,RIKEN cDNA 6330549D23 gene,229613,
436.1884308397129,-1.7875104665681656,0.5165248225561473,-3.460647753039709,5.388774228843841e-4,0.013911956860864851,Ifi35,interferon-induced protein 35,70110,
609.2059048543085,-1.8362652907079873,0.5169698903606641,-3.5519772523442645,3.8234791351985937e-4,0.010570762034492183,Cdkn1a,cyclin-dependent kinase inhibitor 1A (P21),12575,
958.8697671484667,-1.858410365288213,0.39331985653713053,-4.7249340057480005,2.3019009853230563e-6,1.245221986771435e-4,Zfp108,zinc finger protein 108,54678,
1586.1029119095697,-1.9631045197699015,0.4951754780918762,-3.964462310077604,7.356156768336724e-5,0.00272105111132329,LOC105244007,NA,NA,
5729.3676345344575,-1.9655523571566873,0.31897877560699667,-6.162016119775882,7.182453769240093e-10,9.878382310775497e-8,Erdr1,erythroid differentiation regulator 1,170942,
359.5485668241484,-2.0288466189557925,0.668782714048654,-3.0336409364913606,0.0024162182132726356,0.04477659039388507,Syndig1l,synapse differentiation inducing 1 like,627191,
193.59905529678537,-2.1169379780922943,0.6212373677960581,-3.407615330034767,6.553320798657852e-4,0.016118069039221947,1700105P06Rik,RIKEN cDNA 1700105P06 gene,654802,
1445.71522594474,-2.1304831992283226,0.4033768109315359,-5.281620414193626,1.280462809035362e-7,8.77890930282596e-6,LOC108168806,NA,NA,
319.9258803106198,-2.144905628948693,0.3777849948543832,-5.677582906053335,1.3661132077400701e-8,1.1733039922674487e-6,Nxn,nucleoredoxin,18230,
611.9540930961994,-2.247090839153827,0.6942023558383253,-3.236939229974549,0.0012081913742609598,0.026264480780537034,Elk4,"ELK4, member of ETS oncogene family",13714,
1138.367497656637,-2.3161828928592243,0.5345574416949743,-4.332898042753036,1.4715927134063408e-5,6.621105965583288e-4,Zfp935,zinc finger protein 935,71508,
407.93236103228656,-2.743981219614836,0.8852202840615445,-3.099772191194008,0.0019366953724113832,0.037759507588983186,A630089N07Rik,RIKEN cDNA A630089N07 gene,320586,
898.2510378256538,-3.16907748636558,0.9384244902420579,-3.3770191627758415,7.327594494604184e-4,0.017605980251027793,Egr2,early growth response 2,13654,
