	x	y	pval	padj
Gm39585|Gm39585	FoodTrained	Maintenance	4.81351854317214e-06	0.00019730216591353
Snhg6|Snhg6	FoodTrained	Maintenance	0.00292265215584189	0.0446701080509909
Trpa1|Trpa1	FoodTrained	Maintenance	4.39359929909644e-10	7.23492086321647e-08
Rpl7|Rpl7	FoodTrained	Maintenance	0.000939143401037026	0.0184407936762758
Gm28836|Gm28836	FoodTrained	Maintenance	1.19192318406556e-07	6.43061234662379e-06
Gm32790|Gm32790	FoodTrained	Maintenance	1.61085566635731e-05	0.000591306592647274
Fer1l5|Fer1l5	FoodTrained	Maintenance	0.00110444801594022	0.0209149320778599
Sema4c|Sema4c	FoodTrained	Maintenance	0.00282757075434801	0.0434624248174418
Vwa3b|Vwa3b	FoodTrained	Maintenance	0.000264079492924163	0.00658009652303272
4930439A04Rik|4930439A04Rik	FoodTrained	Maintenance	1.01982228544949e-11	2.88244397306821e-09
Il1r2|Il1r2	FoodTrained	Maintenance	0.000501073236928268	0.0112028617328342
Il1rl2|Il1rl2	FoodTrained	Maintenance	1.5058008546935e-10	2.91380060398454e-08
LOC108167622|LOC108167622	FoodTrained	Maintenance	1.18683653002149e-13	7.02347605281782e-11
Gm10561|Gm10561	FoodTrained	Maintenance	0.00171108599782206	0.0295376805294042
Clk1|Clk1	FoodTrained	Maintenance	0.001546053197582	0.027260343950289
Stradb|Stradb	FoodTrained	Maintenance	8.38548897133215e-05	0.00245055562731662
Fam117b|Fam117b	FoodTrained	Maintenance	0.00335224335394181	0.0491722946503455
D230017M19Rik|D230017M19Rik	FoodTrained	Maintenance	0.000385639037733057	0.00901585982413691
Arpc2|Arpc2	FoodTrained	Maintenance	3.09691033268168e-06	0.000131493701726442
Cnppd1|Cnppd1	FoodTrained	Maintenance	0.000192841525054436	0.00496848974143654
Dnajb2|Dnajb2	FoodTrained	Maintenance	0.00216363076547487	0.0351214836783658
Atg9a|Atg9a	FoodTrained	Maintenance	9.79292467394326e-06	0.000380797976489658
Obsl1|Obsl1	FoodTrained	Maintenance	0.000479826892590668	0.0108301333313343
Resp18|Resp18	FoodTrained	Maintenance	0.00197999075929139	0.0328615994817712
Chpf|Chpf	FoodTrained	Maintenance	3.27838638438689e-07	1.60420679486136e-05
Tmem198|Tmem198	FoodTrained	Maintenance	1.68575120511197e-06	7.52902607811449e-05
Slc4a3|Slc4a3	FoodTrained	Maintenance	0.000573377976329338	0.012338703111078
Col4a3|Col4a3	FoodTrained	Maintenance	1.52506344758931e-08	1.24483303909477e-06
Fbxo36|Fbxo36	FoodTrained	Maintenance	0.000806546567772841	0.016527208904654
Ecel1|Ecel1	FoodTrained	Maintenance	0.000420326006241613	0.0097078838490675
Ngef|Ngef	FoodTrained	Maintenance	0.00081035002424525	0.016554043591297
Ugt1a7c|Ugt1a7c	FoodTrained	Maintenance	4.51550627108988e-08	2.81079933852823e-06
Dnajb3|Dnajb3	FoodTrained	Maintenance	2.59203325005047e-05	0.00089571776744901
Asb18|Asb18	FoodTrained	Maintenance	2.77329087611696e-07	1.37481176233055e-05
Ppp1r7|Ppp1r7	FoodTrained	Maintenance	0.00336212566080101	0.0492029162585693
Bok|Bok	FoodTrained	Maintenance	0.0030492784721985	0.0460479955566372
Sept2|Sept2	FoodTrained	Maintenance	3.98103743906254e-05	0.00129923666205768
Gm41920|Gm41920	FoodTrained	Maintenance	1.86253447732769e-09	2.4664905872136e-07
Thap4|Thap4	FoodTrained	Maintenance	0.00327365610409892	0.0484322075338448
Neu4|Neu4	FoodTrained	Maintenance	0.000709259621908985	0.0147331403025013
Pam|Pam	FoodTrained	Maintenance	6.83808235423349e-05	0.00206857452942683
Gm17634|Gm17634	FoodTrained	Maintenance	0.00318970097929737	0.0476743231609742
Tfcp2l1|Tfcp2l1	FoodTrained	Maintenance	0.00056840566544435	0.0122875548932873
C1ql2|C1ql2	FoodTrained	Maintenance	2.10575972087685e-05	0.000749563380342951
Gm41941|Gm41941	FoodTrained	Maintenance	3.80976421548619e-14	2.57662517673793e-11
Gm41949|Gm41949	FoodTrained	Maintenance	0.00027656161804507	0.00682822341710494
Dyrk3|Dyrk3	FoodTrained	Maintenance	0.000548443630619793	0.0119652961210219
Mapkapk2|Mapkapk2	FoodTrained	Maintenance	1.45218173607104e-15	1.90105501557494e-12
Dstyk|Dstyk	FoodTrained	Maintenance	2.39966963626322e-05	0.000836879261545425
Gm10538|Gm10538	FoodTrained	Maintenance	0.00202553572571485	0.03347082900337
Lrrn2|Lrrn2	FoodTrained	Maintenance	2.52541915011591e-05	0.000877502063224679
LOC105246710|LOC105246710	FoodTrained	Maintenance	1.24967648618216e-07	6.68506316916147e-06
Zc3h11a|Zc3h11a	FoodTrained	Maintenance	0.000935542540019107	0.0184398511675337
Tnni1|Tnni1	FoodTrained	Maintenance	3.86185067682002e-15	3.65659331334703e-12
Nav1|Nav1	FoodTrained	Maintenance	5.61902957323981e-06	0.000226881797502009
Ddx59|Ddx59	FoodTrained	Maintenance	2.9674754171676e-10	5.20324833100952e-08
Camsap2|Camsap2	FoodTrained	Maintenance	0.00296734840271252	0.0451394584246662
LOC108167732|LOC108167732	FoodTrained	Maintenance	1.07018650708001e-09	1.53531226398288e-07
LOC108167733|LOC108167733	FoodTrained	Maintenance	0.000241724335665193	0.00611152702869393
Colgalt2|Colgalt2	FoodTrained	Maintenance	0.00134468033697807	0.0244072987398861
Npl|Npl	FoodTrained	Maintenance	0.000124209849563364	0.00344891777299328
Gm9530|Gm9530	FoodTrained	Maintenance	3.96929089302368e-09	4.84944913814125e-07
Mr1|Mr1	FoodTrained	Maintenance	9.40227793926149e-11	2.02330610608858e-08
Gas5|Gas5	FoodTrained	Maintenance	0.00100723997938908	0.0194826843556983
Fmo1|Fmo1	FoodTrained	Maintenance	7.36917753282234e-13	3.03369815084906e-10
Gorab|Gorab	FoodTrained	Maintenance	1.88622171491239e-06	8.3068327012316e-05
Adcy10|Adcy10	FoodTrained	Maintenance	0.000967557430639188	0.0188504475967225
Ildr2|Ildr2	FoodTrained	Maintenance	0.000645654243713629	0.0136611781153128
Usp21|Usp21	FoodTrained	Maintenance	3.9927771772928e-05	0.00129923666205768
Tagln2|Tagln2	FoodTrained	Maintenance	3.67358225570778e-08	2.44093428688906e-06
Igsf8|Igsf8	FoodTrained	Maintenance	3.42323776521378e-12	1.04557828322344e-09
Fmn2|Fmn2	FoodTrained	Maintenance	0.000943407587031395	0.0184941091880057
Cadm3|Cadm3	FoodTrained	Maintenance	0.00195864788506888	0.0326217370268683
Gm29856|Gm29856	FoodTrained	Maintenance	0.000415151342204076	0.00961869719084714
Cdc42bpa|Cdc42bpa	FoodTrained	Maintenance	0.000168694925582822	0.00448047097582315
Dnah14|Dnah14	FoodTrained	Maintenance	1.33293819283653e-08	1.16860419248821e-06
Eprs|Eprs	FoodTrained	Maintenance	0.00134346887802766	0.0244072987398861
Smyd2|Smyd2	FoodTrained	Maintenance	0.000212266232856019	0.0054393581212374
Nsl1|Nsl1	FoodTrained	Maintenance	4.8467989189103e-08	2.93239077084359e-06
Lpgat1|Lpgat1	FoodTrained	Maintenance	1.97733804605882e-06	8.68790036617536e-05
Gm39746|Gm39746	FoodTrained	Maintenance	0.00108494964488813	0.0206455447661239
Cnksr3|Cnksr3	FoodTrained	Maintenance	1.05824000097707e-10	2.20218581302228e-08
B230208H11Rik|B230208H11Rik	FoodTrained	Maintenance	9.89193594124412e-13	3.7464718183868e-10
Gm38480|Gm38480	FoodTrained	Maintenance	0.000709543431160224	0.0147331403025013
LOC108167796|LOC108167796	FoodTrained	Maintenance	0.000200949221903279	0.00516333163525426
LOC108167797|LOC108167797	FoodTrained	Maintenance	2.61796090462984e-05	0.000903029611128876
Ctgf|Ctgf	FoodTrained	Maintenance	0.00157435227666094	0.02773349680291
Fam26f|Fam26f	FoodTrained	Maintenance	3.7681872985179e-13	1.69900387790556e-10
Gm16364|Gm16364	FoodTrained	Maintenance	0.00138783533784249	0.0249784865250751
Cd24a|Cd24a	FoodTrained	Maintenance	0.00107399105132492	0.0205436045847879
Prep|Prep	FoodTrained	Maintenance	0.00158578027219947	0.0278829350182371
LOC108167812|LOC108167812	FoodTrained	Maintenance	1.04320555363066e-09	1.50802928008426e-07
Chst3|Chst3	FoodTrained	Maintenance	1.29913544582791e-08	1.14570174472324e-06
Gm17455|Gm17455	FoodTrained	Maintenance	8.24312891549901e-09	8.25926625782035e-07
Lrrc20|Lrrc20	FoodTrained	Maintenance	7.08924955844123e-05	0.00211749398877289
Dnajc12|Dnajc12	FoodTrained	Maintenance	0.000150371312243016	0.00406797362849428
Upb1|Upb1	FoodTrained	Maintenance	1.30694874100678e-11	3.63966004535961e-09
Cabin1|Cabin1	FoodTrained	Maintenance	0.00121329130014147	0.0225035233602146
Gm867|Gm867	FoodTrained	Maintenance	5.72123048183005e-05	0.0017761137972855
Col18a1|Col18a1	FoodTrained	Maintenance	3.35573949565325e-13	1.58869097072964e-10
Gm40709|Gm40709	FoodTrained	Maintenance	1.37511494898606e-08	1.18164130299494e-06
Palm|Palm	FoodTrained	Maintenance	6.93609120754558e-10	1.04245046981977e-07
Plppr3|Plppr3	FoodTrained	Maintenance	2.92880751285808e-10	5.18344185710219e-08
Cbarp|Cbarp	FoodTrained	Maintenance	2.5835865377249e-06	0.000111701776860494
Atp5d|Atp5d	FoodTrained	Maintenance	0.00198974295802691	0.0329696913902099
Apc2|Apc2	FoodTrained	Maintenance	6.21752684883405e-05	0.00191449277945318
Rexo1|Rexo1	FoodTrained	Maintenance	3.77938953256211e-05	0.00124686933062942
Sppl2b|Sppl2b	FoodTrained	Maintenance	7.20984388979514e-07	3.37952509260026e-05
Gng7|Gng7	FoodTrained	Maintenance	2.31798984362088e-06	0.000100678379973965
Diras1|Diras1	FoodTrained	Maintenance	6.70608551252733e-06	0.000268484442601966
Slc39a3|Slc39a3	FoodTrained	Maintenance	6.6412221625575e-06	0.000266450898500745
Sgta|Sgta	FoodTrained	Maintenance	7.928207438197e-06	0.000314093021458445
Mfsd12|Mfsd12	FoodTrained	Maintenance	4.32828067910779e-05	0.00138923137661465
Apba3|Apba3	FoodTrained	Maintenance	3.84302129329324e-05	0.00126565729097555
LOC108167825|LOC108167825	FoodTrained	Maintenance	3.53841831996527e-08	2.36773949558948e-06
Ncln|Ncln	FoodTrained	Maintenance	3.52611528345536e-05	0.00117353330620025
Tdg|Tdg	FoodTrained	Maintenance	0.00320681761355235	0.0478004407700631
Gm38560|Gm38560	FoodTrained	Maintenance	0.000166819270126204	0.0044493753779999
Eid3|Eid3	FoodTrained	Maintenance	3.07241511690414e-09	3.85313411051746e-07
Tmem263|Tmem263	FoodTrained	Maintenance	0.000791762939433855	0.0162797120348088
Gm5174|Gm5174	FoodTrained	Maintenance	3.06477476413286e-10	5.3245541016866e-08
Gm32898|Gm32898	FoodTrained	Maintenance	1.04199956861096e-08	9.82782743465753e-07
5730420D15Rik|5730420D15Rik	FoodTrained	Maintenance	0.00026309274149996	0.00656414656888636
Atxn7l3b|Atxn7l3b	FoodTrained	Maintenance	0.00154461311932934	0.0272603342411367
Best3|Best3	FoodTrained	Maintenance	9.97654682833063e-12	2.86251314072874e-09
Dyrk2|Dyrk2	FoodTrained	Maintenance	0.00231157954546041	0.0369716062942431
Lemd3|Lemd3	FoodTrained	Maintenance	0.00249972988161382	0.0393494470225444
Dtx3|Dtx3	FoodTrained	Maintenance	0.00336834463096536	0.0492558627618463
Itga7|Itga7	FoodTrained	Maintenance	5.85788969301601e-16	1.00846233742404e-12
8430429K09Rik|8430429K09Rik	FoodTrained	Maintenance	0.000707397976222547	0.0147331403025013
Inpp5j|Inpp5j	FoodTrained	Maintenance	1.49785711753145e-05	0.000557267588107918
Smtn|Smtn	FoodTrained	Maintenance	1.78344226669558e-16	3.75256068937935e-13
Slc35e4|Slc35e4	FoodTrained	Maintenance	0.00190056872269996	0.0319920621349059
Ap1b1|Ap1b1	FoodTrained	Maintenance	0.000955458868809744	0.0186916576432336
Ykt6|Ykt6	FoodTrained	Maintenance	0.000392013942466604	0.00911986244286251
Nacad|Nacad	FoodTrained	Maintenance	0.000564255539227828	0.012263397275098
Pkd1l1|Pkd1l1	FoodTrained	Maintenance	6.25726683893809e-09	6.84935619242605e-07
