	x	y	pval	padj
Gm39585|Gm39585	DA	nDA	0.000151244319296831	0.00166201965510998
Gm16041|Gm16041	DA	nDA	3.16485059631196e-09	1.34986419499897e-07
Atp6v1h|Atp6v1h	DA	nDA	1.15354988344935e-14	1.67478636389802e-12
Npbwr1|Npbwr1	DA	nDA	5.34721946341878e-08	1.68495835127707e-06
Oprk1|Oprk1	DA	nDA	3.74975708688507e-26	2.05514811539454e-23
St18|St18	DA	nDA	0.00129711975095349	0.00995138852076563
4732440D04Rik|4732440D04Rik	DA	nDA	0.000312698194033997	0.00304408637114002
Sntg1|Sntg1	DA	nDA	0.00458473594685706	0.0273723219398005
Sgk3|Sgk3	DA	nDA	1.11509684152219e-06	2.41087456180384e-05
Vcpip1|Vcpip1	DA	nDA	0.000114411407474776	0.00131115592580738
Cops5|Cops5	DA	nDA	2.96664698680184e-07	7.51013878656544e-06
Lactb2|Lactb2	DA	nDA	0.00716699775161208	0.0386535569770961
LOC102634042|LOC102634042	DA	nDA	9.19534803202569e-07	2.03215337606955e-05
Tfap2b|Tfap2b	DA	nDA	3.52729231046212e-05	0.000487571433305555
Gm28836|Gm28836	DA	nDA	0.00200620163598	0.0141293450416702
Col19a1|Col19a1	DA	nDA	0.00716720837074742	0.0386535569770961
Gm20172|Gm20172	DA	nDA	0.00064695393312668	0.00562377917364639
Gm9839|Gm9839	DA	nDA	0.000154611664833805	0.00168886473749452
Gm32790|Gm32790	DA	nDA	5.635664393682e-05	0.000724637363652143
Dst|Dst	DA	nDA	6.8751285469665e-11	4.36911878938389e-09
Plekhb2|Plekhb2	DA	nDA	1.76813263657314e-10	1.02547015321675e-08
Cnnm4|Cnnm4	DA	nDA	5.26556480406825e-05	0.000683672012721379
Uggt1|Uggt1	DA	nDA	8.65076650134671e-05	0.00103464677582664
Gm33533|Gm33533	DA	nDA	0.000753710107427422	0.00639210316639512
Vwa3b|Vwa3b	DA	nDA	0.00026859711559141	0.00268879203886323
Gm37020|Gm37020	DA	nDA	2.57175534547055e-05	0.000372887516129304
4930439A04Rik|4930439A04Rik	DA	nDA	2.44430044299795e-07	6.32116733808168e-06
Coa5|Coa5	DA	nDA	0.00170854033524514	0.0124109773921733
2010300C02Rik|2010300C02Rik	DA	nDA	0.000870102054281908	0.00718069372658231
Chst10|Chst10	DA	nDA	8.54712270440872e-05	0.00102392661775275
Rpl31|Rpl31	DA	nDA	0.000330329349923828	0.00319303806806882
Il1r2|Il1r2	DA	nDA	0.000997856779258055	0.00804561021392951
Pantr2|Pantr2	DA	nDA	7.4638620044448e-05	0.000916182792404498
LOC108167622|LOC108167622	DA	nDA	9.79108549341159e-05	0.00114847494527588
Gm28782|Gm28782	DA	nDA	0.00755951111472512	0.0402348050905848
Dnah7c|Dnah7c	DA	nDA	0.00142397109260899	0.0107093373115839
Slc39a10|Slc39a10	DA	nDA	0.00932358670751413	0.0472494201083755
Nab1|Nab1	DA	nDA	0.00660398352021652	0.036376666008469
Mfsd6|Mfsd6	DA	nDA	3.74428336270106e-05	0.000512076881849628
Asnsd1|Asnsd1	DA	nDA	0.00384559395725188	0.0237685244783854
Gm32311|Gm32311	DA	nDA	0.00347084747968567	0.0219157227238332
Sf3b1|Sf3b1	DA	nDA	0.00924097707253351	0.0469828247590798
Gm6644|Gm6644	DA	nDA	0.000449300603629053	0.00415021193511307
Spats2l|Spats2l	DA	nDA	0.000150717076970524	0.00165872011969117
Clk1|Clk1	DA	nDA	3.35253459056925e-07	8.35351983388313e-06
Gm15834|Gm15834	DA	nDA	1.70228815617812e-06	3.52400974956496e-05
Stradb|Stradb	DA	nDA	0.00467837792433099	0.0277469383911396
Gm39648|Gm39648	DA	nDA	2.91635170072976e-18	7.52178568648219e-16
Bmpr2|Bmpr2	DA	nDA	0.00463017202836563	0.0275685120526507
Zdbf2|Zdbf2	DA	nDA	9.64820465045721e-14	1.11325047658933e-11
1700039I01Rik|1700039I01Rik	DA	nDA	0.00257548190162088	0.017203622708481
Eef1b2|Eef1b2	DA	nDA	0.00901430823009308	0.0460654264168602
Adam23|Adam23	DA	nDA	5.81288929945533e-05	0.000742201351846006
Spag16|Spag16	DA	nDA	0.0046211086456641	0.0275426329793003
Erbb4|Erbb4	DA	nDA	1.92777509205696e-11	1.38565945387425e-09
Vwc2l|Vwc2l	DA	nDA	0.00290822434401251	0.01896965257179
Atic|Atic	DA	nDA	1.4109845510032e-06	2.96009706331513e-05
D230017M19Rik|D230017M19Rik	DA	nDA	0.00127882575442558	0.00984399473815734
Arpc2|Arpc2	DA	nDA	0.000978315779029519	0.00792302062196681
Aamp|Aamp	DA	nDA	0.00498696519980094	0.0292281634324912
Gpbar1|Gpbar1	DA	nDA	0.000699269957631493	0.00600220805261791
Tmbim1|Tmbim1	DA	nDA	1.43375463286259e-12	1.28294705372435e-10
Cyp27a1|Cyp27a1	DA	nDA	0.00609459928744167	0.0342770395532539
Ccdc108|Ccdc108	DA	nDA	2.18499393269192e-07	5.72301337949881e-06
Zfand2b|Zfand2b	DA	nDA	0.000779845261644134	0.00657559525808629
Abcb6|Abcb6	DA	nDA	5.38992215604198e-05	0.000697128397798869
Dnajb2|Dnajb2	DA	nDA	0.00147952400745662	0.0110739517977028
Tuba4a|Tuba4a	DA	nDA	1.86013485583604e-10	1.07315095906562e-08
Dnpep|Dnpep	DA	nDA	7.09527706608098e-06	0.000122758015171653
Pax3|Pax3	DA	nDA	0.000204529300627533	0.00214028441892955
Epha4|Epha4	DA	nDA	0.00059664120410694	0.00527426012807921
Sgpp2|Sgpp2	DA	nDA	0.00029487281770561	0.00290021503314211
Scg2|Scg2	DA	nDA	1.8573835826167e-11	1.3394546145298e-09
Dock10|Dock10	DA	nDA	2.41545107641652e-06	4.75349496842722e-05
Nyap2|Nyap2	DA	nDA	0.00232942664924851	0.0158842987345179
Col4a3|Col4a3	DA	nDA	2.84489562509477e-16	5.51934927335865e-14
Gm39668|Gm39668	DA	nDA	0.000654928377136176	0.00568183411632623
Dner|Dner	DA	nDA	0.000717281642170546	0.0061353747332442
Itm2c|Itm2c	DA	nDA	0.000133158456720598	0.00149016480177931
Ugt1a6a|Ugt1a6a	DA	nDA	7.91295210664005e-05	0.000957899773792765
Gm38609|Gm38609	DA	nDA	1.46740405342084e-06	3.06088478241151e-05
Hjurp|Hjurp	DA	nDA	0.00211697379716102	0.0147521985235731
Cops8|Cops8	DA	nDA	0.0010514225260501	0.00840333067393235
Scly|Scly	DA	nDA	0.000857009005169192	0.00709256641008841
Lrrfip1|Lrrfip1	DA	nDA	1.19455623725622e-06	2.56453857488728e-05
Per2|Per2	DA	nDA	0.00337178761455001	0.0214218489139044
Gm35591|Gm35591	DA	nDA	0.00109685349111569	0.00870927891551222
Myeov2|Myeov2	DA	nDA	8.6572356113962e-05	0.00103485592316597
9430060I03Rik|9430060I03Rik	DA	nDA	9.87745514335829e-10	4.78020858957713e-08
Sned1|Sned1	DA	nDA	0.000206988606964578	0.00216292241681813
Ppp1r7|Ppp1r7	DA	nDA	0.000579759215919406	0.00515203132979373
Gm41920|Gm41920	DA	nDA	0.00409369440908634	0.0249363885886079
Fam174a|Fam174a	DA	nDA	0.00365397795919568	0.0228191927704361
Slco4c1|Slco4c1	DA	nDA	1.28529338479803e-08	4.73571207981969e-07
Pam|Pam	DA	nDA	1.32194689606293e-05	0.000211722701784545
Phlpp1|Phlpp1	DA	nDA	2.61079274952746e-22	1.1007001816902e-19
Gm37053|Gm37053	DA	nDA	1.92374992653019e-07	5.1557909094525e-06
Cdh19|Cdh19	DA	nDA	9.30423973095285e-08	2.70526323105675e-06
Cdh7|Cdh7	DA	nDA	5.29857240404656e-06	9.51356288402234e-05
Dsel|Dsel	DA	nDA	2.25362780533025e-08	7.75608828512639e-07
Tsn|Tsn	DA	nDA	0.00110344845329122	0.00872948065961568
Inhbb|Inhbb	DA	nDA	0.000266919748536312	0.00267326081607545
Tmem185b|Tmem185b	DA	nDA	4.54581177546781e-10	2.34120249404739e-08
C1ql2|C1ql2	DA	nDA	0.00544850036877352	0.031285351907968
En1|En1	DA	nDA	3.88834774183534e-131	8.52442475442561e-127
Gm34352|Gm34352	DA	nDA	1.42514579686648e-12	1.28047013543869e-10
Htr5b|Htr5b	DA	nDA	0.000550108986031083	0.00493656950501819
Insig2|Insig2	DA	nDA	0.00122921664217713	0.00953240765703897
Slc35f5|Slc35f5	DA	nDA	1.90324757521455e-17	4.25764250932945e-15
Lypd1|Lypd1	DA	nDA	0.0052113673905389	0.0301368523615891
Dpp10|Dpp10	DA	nDA	5.07640709770996e-07	1.2057429339447e-05
Cd55|Cd55	DA	nDA	7.90787137878598e-05	0.000957813614569751
C4bp-ps1|C4bp-ps1	DA	nDA	0.00177512657291595	0.012763561776988
Yod1|Yod1	DA	nDA	0.00362964855580019	0.0226897021068741
Gm29695|Gm29695	DA	nDA	0.00124023514463689	0.00960765903741152
Cntn2|Cntn2	DA	nDA	2.11638029494693e-08	7.34136158324708e-07
Nfasc|Nfasc	DA	nDA	0.000604383530787125	0.00532552256649764
Mdm4|Mdm4	DA	nDA	4.95381382341127e-05	0.000653051475950963
Gm28609|Gm28609	DA	nDA	0.000133789495944618	0.00149493736982358
Pik3c2b|Pik3c2b	DA	nDA	6.0119792577931e-11	3.87648886084112e-09
Plekha6|Plekha6	DA	nDA	0.00707743612386469	0.0383107733687619
Zc3h11a|Zc3h11a	DA	nDA	0.00357993173424393	0.0224439427606089
Btg2|Btg2	DA	nDA	2.60482711226024e-11	1.81865047076692e-09
Ppfia4|Ppfia4	DA	nDA	0.000135762067552112	0.00151312242345955
Cyb5r1|Cyb5r1	DA	nDA	5.93186896498255e-08	1.83161075097623e-06
Ptpn7|Ptpn7	DA	nDA	0.0011168645937926	0.00882313226958476
Gpr37l1|Gpr37l1	DA	nDA	0.000331999704659936	0.00320494474912363
Rnpep|Rnpep	DA	nDA	0.00758824103273277	0.0403166259046898
Tnnt2|Tnnt2	DA	nDA	5.52795223514614e-10	2.79296890343216e-08
Phlda3|Phlda3	DA	nDA	0.00172829045019823	0.0125295342393174
Nav1|Nav1	DA	nDA	0.000151571571222358	0.00166478134063515
Tmem9|Tmem9	DA	nDA	8.63757808837372e-08	2.52819258252893e-06
Gm19705|Gm19705	DA	nDA	0.00170806775469195	0.0124109773921733
Gm4258|Gm4258	DA	nDA	0.00513704032404697	0.0298013588314585
Lhx9|Lhx9	DA	nDA	0.00526306388536573	0.0303717161249995
Cfh|Cfh	DA	nDA	2.27876161700854e-08	7.81597185276604e-07
Cdc73|Cdc73	DA	nDA	0.00415306734163428	0.0252489449058925
B3galt2|B3galt2	DA	nDA	0.00996752641331385	0.0498785851538643
Rgs1|Rgs1	DA	nDA	0.00024162694794618	0.00245126681157988
LOC108167732|LOC108167732	DA	nDA	3.89476801800934e-13	4.04668242932791e-11
Brinp3|Brinp3	DA	nDA	0.00580236824458037	0.0328952678706596
Ivns1abp|Ivns1abp	DA	nDA	1.41818324018821e-07	3.92061083065757e-06
Trmt1l|Trmt1l	DA	nDA	0.000392447694921427	0.00370367232706089
Fam129a|Fam129a	DA	nDA	8.86704068041632e-09	3.41038829538188e-07
Colgalt2|Colgalt2	DA	nDA	4.41014225215735e-30	3.45298387835877e-27
Dhx9|Dhx9	DA	nDA	0.000185241733320401	0.00197234313724291
Mir8114|Mir8114	DA	nDA	0.000728354148426288	0.00621404190812614
Qsox1|Qsox1	DA	nDA	2.63552262351054e-05	0.00038012212154751
Tor3a|Tor3a	DA	nDA	0.000262068053384167	0.00263425856686891
Gm30694|Gm30694	DA	nDA	0.000562111855486053	0.00502986865625337
4930439D14Rik|4930439D14Rik	DA	nDA	0.000151107726637151	0.00166135139973233
Sec16b|Sec16b	DA	nDA	0.000277477393788173	0.00275754166093296
Gm31348|Gm31348	DA	nDA	0.000492237326476875	0.00448144472938228
