	FT01DA	FT02DA	FT04DA	MN01DA	MN02DA	MN03DA	CRV01DA	CRV02DA	CRV03DA	CRV04DA
Gm28836|Gm28836	0	0	0	0	0	189.916757418286	0	38.6902664795399	17.0991746887291	0
Vwa3b|Vwa3b	0	0	0	79.4060446354512	121.163225532811	24.4027118470423	368.505989240181	33.1630855538913	0	54.3465903773603
4930439A04Rik|4930439A04Rik	0	0	8.43901696341522	392.466657393609	502.698488912725	719.349505751943	166.019625360811	210.822472449738	313.225790888993	84.0834039800668
LOC108167622|LOC108167622	0	0	0	284.766504899549	0	0	10.5561611501093	84.4869084349136	124.357634099848	51.2703682805286
Pard3bos2|Pard3bos2	0	123.989916247246	42.1950848170761	0	0	315.113279068329	0	0	0	0
Col4a3|Col4a3	0	0	0	0	0	216.441444208549	0	7.10637547583386	47.4113480005671	28.711406237096
Dnajb3|Dnajb3	0	0	0	206.273173420827	108.273520688895	0	130.512537855897	66.3261711077827	123.580398886724	68.7022934959083
Asb18|Asb18	0	0	0	0	0	82.7570227856217	0	30.7942937286134	7.77235213124051	7.177851559274
Gm41920|Gm41920	0	0	0	382.426812669587	0	339.515990915371	0	0	191.977097641641	0
LOC105246710|LOC105246710	0	0	0	53.8500762470301	76.0492585791046	0	283.09704902566	0	0	0
LOC108167732|LOC108167732	0	0	0	0	0	159.14812074158	289.814606121184	78.1701302341724	0	70.7531082271294
Fam129a|Fam129a	0	0	0	0	51.5588193756641	0	12.475463177402	183.976165096588	56.7381705580557	277.885396080465
Fmo1|Fmo1	0	0	0	0	174.011015392866	0	118.037074678495	172.132205970198	27.9804676724658	20.5081473122114
Gorab|Gorab	99.160421598689	148.276600872995	152.839973892965	1657.48709262045	621.283773476753	340.576978386982	900.152650800233	914.35364455729	886.825378174543	947.476405824168
Dnah14|Dnah14	0	0	0	0	130.186018923552	0	92.1264973100452	0	16.3219394756051	177.395474250629
Atf3|Atf3	1160.40401763962	522.802842733233	664.807003006821	990.293775051316	172.722044908475	377.71153989335	79.6510341326432	223.45602885122	44.3024071480709	99.4645144642254
