	FT01DA	FT02DA	FT04DA	MN01DA	MN02DA	MN03DA	CRV01DA	CRV02DA	CRV03DA	CRV04DA
Gm39585|Gm39585	2902.14546877385	5282.99302938008	4202.63044778078	7678.6557875638	9685.3242197185	10693.6927263626	4420.15256885488	4065.63636945206	4902.02248917339	4140.59494233549
Trpa1|Trpa1	0	236.475613461242	0	0	0	0	158.34241725164	53.6926147063003	0	27.6859988714854
Rpl7|Rpl7	2503.9898828127	1517.2786658297	1792.82227044999	3105.96287234989	4202.04377911663	4367.02443314896	1757.12100598638	2394.84853535601	1809.40357615279	1419.16379400503
1700001G17Rik|1700001G17Rik	402.697284660325	440.995062941236	562.601130894348	455.443865207932	460.162462927802	207.953544435665	1283.05340524511	1497.07643357567	707.284043942887	1032.58521716985
Fer1l5|Fer1l5	150.633006856024	212.188928835493	545.723096967518	14.6034105076692	63.1595537351885	63.6592482966321	452.955278441056	375.058705669009	296.126616200264	129.201328066932
Sema4c|Sema4c	641.136466367096	1700.06792380244	2341.35837307198	457.269291521391	656.085976555326	211.136506850496	1997.99341041161	2081.37841714423	2180.92200802609	716.759748561789
Il1rl2|Il1rl2	0	906.27681050822	0	0	0	0	421.286794990728	0	209.853507543494	0
Fam126b|Fam126b	6061.65386383436	10048.2962022639	6259.87524975111	9786.11046645181	13407.8709786415	11694.2039120913	7479.5200003593	6863.17951510532	5740.65928413424	6148.34256420098
Pard3bos2|Pard3bos2	0	123.989916247246	42.1950848170761	0	0	315.113279068329	0	0	0	0
Zdbf2|Zdbf2	3214.76572923383	3934.44290937137	3461.87229210322	4369.15788126327	4984.44886314233	3861.99439666235	2211.99558645473	1829.49688638967	3489.00887171387	1557.59378836246
Klf7|Klf7	2441.16305080742	3441.03973750089	2775.49891241212	3959.34967389181	4106.65996327165	4151.64397641202	3145.73602273259	2333.25994789878	2168.4862446161	2627.09367069428
Map2|Map2	14084.5646159298	13622.2735819268	16538.5979111909	23400.1399122264	17611.2037282425	17281.3639375924	11146.3465235018	12031.8832778618	14075.7297096766	11344.0816857497
Arpc2|Arpc2	5059.45235088273	4044.37211346687	4858.0607652727	2421.4280048029	1572.54399095776	2448.75908447711	3980.63240460487	4005.62697654502	3210.75866541546	3719.15251506954
Cnppd1|Cnppd1	2111.88989511712	1919.92633199344	2303.85163101236	952.872535625414	1169.09622934318	627.043595721826	1450.99233263321	1926.61735122607	2146.72365864863	1361.74098153084
Dnajb2|Dnajb2	1631.22678278759	1535.1741176592	1790.00926479552	856.124941012106	808.184493713535	788.313691406627	1468.26605087885	1212.03181726722	2391.55275078271	2395.35160606629
Atg9a|Atg9a	11788.7359234961	8680.57238386647	16329.4978242085	2551.03327305846	3116.7306312589	2353.27021203217	4657.18636922551	17855.1631816701	15522.9416765136	5275.72089606639
