	FT01DA	FT02DA	FT04DA	FT01nDA	FT02nDA	FT04nDA
Gm39585|Gm39585	3008.01096113305	5437.08163085019	4430.72156417243	9375.05476245854	12765.8208674979	8480.35843869001
Gm16041|Gm16041	0	0	0	127.582985312487	105.352534193921	96.8792390295766
Atp6v1h|Atp6v1h	13415.2267669312	11543.7675564264	11601.7287543792	3563.14495671275	4393.01903358617	4682.4965530962
Npbwr1|Npbwr1	459.753370689611	774.846620026799	2328.05651129542	100.964952405565	57.2173246053192	93.9435045135288
Oprk1|Oprk1	10024.3495175788	17553.1043310995	19942.2012748886	1494.28129560236	1504.90645827006	1299.55181243715
St18|St18	174.172778657157	784.055323490615	644.540486354401	1906.4018740578	2205.13752605897	1804.49814919737
4732440D04Rik|4732440D04Rik	6408.30295527772	8315.4592278258	4814.28246709499	3065.66310031442	3542.02485651976	2531.5817310052
Sntg1|Sntg1	2714.58474844037	4458.32800555318	2044.34007021611	1794.42256320799	1115.28372405289	1162.55086835492
Sgk3|Sgk3	152.205040808506	359.139435088822	357.858368190634	1118.8752452944	1465.85336369818	1328.90915759763
Vcpip1|Vcpip1	7724.7981020647	9121.87854544283	6656.95649556831	3737.53896541327	3800.8651344962	4906.59095448785
Cops5|Cops5	3190.81392251647	2740.24704501838	2653.29243155708	1288.67993797648	1564.8484173804	1262.36584190054
Lactb2|Lactb2	1500.08267023641	4254.42100028297	1326.64621577854	800.376713615023	920.926462695137	896.377605566587
LOC102634042|LOC102634042	0	0	0	62.4146978507128	62.6665936153496	81.2219882773218
Tfap2b|Tfap2b	0	0	0	17.4394008700521	132.598879244073	55.7789558049077
Gm28836|Gm28836	0	0	0	34.8788017401042	16.3478070300912	28.3787669884618
Col19a1|Col19a1	865.37195882362	478.852580118429	1513.48387209906	2905.03703966921	1497.64076625669	3795.90472924977
Gm20172|Gm20172	9.41474479227873	39.4658719877826	89.9588715617339	312.991352457251	509.506652437842	283.787669884618
Gm9839|Gm9839	0	0	0	19.275127277426	54.492690100304	57.7361121489396
Gm32790|Gm32790	0	0	0	49.5646129990955	63.5748051170213	28.3787669884618
Dst|Dst	16209.8368461059	18502.9163169388	15746.756759416	33891.1809329371	35998.7792917625	31700.0613042839
Plekhb2|Plekhb2	8987.9430283621	10005.9140779692	9983.45762529617	5326.36017099539	4599.18304446566	4883.10507835946
Cnnm4|Cnnm4	7072.04246313337	10758.3967038696	12788.9881471885	4022.07655855623	4480.20733774666	4848.85484233891
Uggt1|Uggt1	7903.678253118	8308.88158249451	8598.48642685672	5009.69736572339	5977.84810400335	5174.72137362021
Gm33533|Gm33533	203.201575100016	193.382772740135	246.15119800958	633.325610543998	468.637134862614	388.495534290322
Vwa3b|Vwa3b	0	0	0	52.3182026101563	23.6134990434651	37.1859705366051
Gm37020|Gm37020	0	0	0	90.8684571650084	24.5217105451368	59.6932684929714
4930439A04Rik|4930439A04Rik	0	0	8.8970312533583	418.545620881251	693.873587277204	258.344637412204
Coa5|Coa5	1090.54127177229	2391.63184245963	1774.46345553091	694.822445191024	861.892715086475	734.91220718396
2010300C02Rik|2010300C02Rik	0	0	31.6338889008295	592.021766378085	276.096296508207	909.099121802794
Chst10|Chst10	13918.1310512521	9948.03079905375	13405.8489807547	6857.35599474523	5359.3560713649	7011.5126024941
Rpl31|Rpl31	2458.8175149168	1932.51219833509	2204.48663277656	883.902265150536	1375.94042503268	911.056278146826
Il1r2|Il1r2	0	0	0	61.4968346470259	49.9516325919453	6.85004720411147
Pantr2|Pantr2	84.7327031305086	109.188912499532	85.0160764209793	228.547937718051	280.637354016566	246.601699348013
LOC108167622|LOC108167622	0	0	0	34.8788017401042	60.8501706120061	33.2716578485414
Gm28782|Gm28782	0	0	0	25.7001697032347	18.1642300334347	14.6786725802389
Dnah7c|Dnah7c	81.5944548664157	60.5143370479334	83.0389583646775	149.611702200973	237.043201936322	297.487764292841
