	FT01DA	FT02DA	FT04DA	MN01DA	MN02DA	MN03DA	CRV01DA	CRV02DA	CRV03DA	CRV04DA
Gm39585|Gm39585	2902.14546877385	5282.99302938008	4202.63044778078	7678.6557875638	9685.3242197185	10693.6927263626	4420.15256885488	4065.63636945206	4902.02248917339	4140.59494233549
Snhg6|Snhg6	320.946708075146	329.787612286489	313.181296197854	836.04525156406	773.382290634962	699.190743791342	528.767708519114	382.954678419936	298.458321839636	745.471154798885
Trpa1|Trpa1	0	236.475613461242	0	0	0	0	158.34241725164	53.6926147063003	0	27.6859988714854
Rpl7|Rpl7	2503.9898828127	1517.2786658297	1792.82227044999	3105.96287234989	4202.04377911663	4367.02443314896	1757.12100598638	2394.84853535601	1809.40357615279	1419.16379400503
Gm28836|Gm28836	0	0	0	0	0	189.916757418286	0	38.6902664795399	17.0991746887291	0
Gm32790|Gm32790	0	0	0	88.5331762027444	279.706595112978	36.0735740347582	7.67720810917043	10.2647645762045	0	18.4573325809903
Fer1l5|Fer1l5	150.633006856024	212.188928835493	545.723096967518	14.6034105076692	63.1595537351885	63.6592482966321	452.955278441056	375.058705669009	296.126616200264	129.201328066932
Sema4c|Sema4c	641.136466367096	1700.06792380244	2341.35837307198	457.269291521391	656.085976555326	211.136506850496	1997.99341041161	2081.37841714423	2180.92200802609	716.759748561789
Vwa3b|Vwa3b	0	0	0	79.4060446354512	121.163225532811	24.4027118470423	368.505989240181	33.1630855538913	0	54.3465903773603
4930439A04Rik|4930439A04Rik	0	0	8.43901696341522	392.466657393609	502.698488912725	719.349505751943	166.019625360811	210.822472449738	313.225790888993	84.0834039800668
Il1r2|Il1r2	0	0	0	292.980923310113	0	230.234281339486	176.57578651092	0	24.8715268199696	10.2540736561057
Il1rl2|Il1rl2	0	906.27681050822	0	0	0	0	421.286794990728	0	209.853507543494	0
LOC108167622|LOC108167622	0	0	0	284.766504899549	0	0	10.5561611501093	84.4869084349136	124.357634099848	51.2703682805286
Gm10561|Gm10561	64.3407315716684	117.598683450996	87.203175288624	0	0	0	0	32.3734882787987	11.6585281968608	0
Clk1|Clk1	7536.19204150037	6369.50260474254	7727.32653283387	13696.1736298802	15833.7134302665	15460.7094363087	18526.0628184419	9291.98073329032	7702.40096205935	16877.1798305844
Stradb|Stradb	836.42951043169	438.438569822736	791.39225745805	1828.16445292884	1772.33441603845	1628.61576892217	1501.85383635647	1262.56604287315	1359.38438775397	911.587148027798
Fam117b|Fam117b	717.588394469902	593.106403491981	316.931970403816	3184.45620382861	1428.1792967059	827.570227856217	506.695735205249	997.261358442018	1469.75178801758	732.140859045948
D230017M19Rik|D230017M19Rik	153.660805988808	144.441861195245	217.539103945815	627.946651829775	783.694054510095	407.419189098445	172.737182456335	335.578841914377	430.588308070724	259.428063499474
Arpc2|Arpc2	5059.45235088273	4044.37211346687	4858.0607652727	2421.4280048029	1572.54399095776	2448.75908447711	3980.63240460487	4005.62697654502	3210.75866541546	3719.15251506954
Cnppd1|Cnppd1	2111.88989511712	1919.92633199344	2303.85163101236	952.872535625414	1169.09622934318	627.043595721826	1450.99233263321	1926.61735122607	2146.72365864863	1361.74098153084
Dnajb2|Dnajb2	1631.22678278759	1535.1741176592	1790.00926479552	856.124941012106	808.184493713535	788.313691406627	1468.26605087885	1212.03181726722	2391.55275078271	2395.35160606629
Atg9a|Atg9a	11788.7359234961	8680.57238386647	16329.4978242085	2551.03327305846	3116.7306312589	2353.27021203217	4657.18636922551	17855.1631816701	15522.9416765136	5275.72089606639
Obsl1|Obsl1	1467.72562961724	373.247995300988	804.519617178918	247.345265473647	110.851461657678	184.611820060233	481.744808850445	640.36339010014	1020.50983483188	289.164877102181
Resp18|Resp18	46696.2321253674	39439.0193390982	57696.6213103184	78744.3275968224	66635.9071315927	98411.8929292352	48624.5572104446	46747.3170745853	51922.4211775391	32762.7907386234
Chpf|Chpf	12865.1185152009	9985.66212086067	21452.918789553	3832.48254510643	3669.69896906289	2837.08049908657	11214.4817454707	19612.8067160264	20205.783835586	7373.70436610562
Tmem198|Tmem198	4479.62881695452	2941.24533283415	6899.36520186769	1595.42259796286	1200.03152096858	1055.68253425248	3013.3041828494	4537.02594268237	4957.98342451832	2432.26627122827
Slc4a3|Slc4a3	11038.5986883487	11660.1651134781	15568.1109603981	8366.84150773771	7193.74427338954	7800.37989128065	11621.3737752567	14879.960649121	16468.0596956724	14917.6263549026
Col4a3|Col4a3	0	0	0	0	0	216.441444208549	0	7.10637547583386	47.4113480005671	28.711406237096
Fbxo36|Fbxo36	24.9793428454713	30.677917421999	76.8888212222276	239.130847063083	261.661008331495	161.270095684801	285.016351052952	140.548314966492	136.016162296709	240.970730918484
Ecel1|Ecel1	4248.75913307971	1587.58222658845	4816.80334900711	1188.35253006158	229.436746221705	168.697007986075	2006.63026953442	6289.93189338806	2334.81458022465	1140.25299055896
Ngef|Ngef	1074.86869213846	911.38979674522	1078.31883421417	0	175.299985877258	74.2691230127374	1031.62483966978	671.157683828753	941.231843093226	618.320641463174
Ugt1a7c|Ugt1a7c	0	0	90.0161809430957	0	0	0	0	124.756369464639	118.139752394856	0
Dnajb3|Dnajb3	0	0	0	206.273173420827	108.273520688895	0	130.512537855897	66.3261711077827	123.580398886724	68.7022934959083
Asb18|Asb18	0	0	0	0	0	82.7570227856217	0	30.7942937286134	7.77235213124051	7.177851559274
Ppp1r7|Ppp1r7	582.0943832778	717.096319739226	797.955937318484	2936.19822519823	1047.93300381037	1318.80742721189	912.628113977635	930.145590059143	1151.86258584984	597.812494150963
Bok|Bok	362.578946150932	732.435278450226	641.365289219557	302.108054877406	175.299985877258	167.636020514465	555.63793690121	851.185862549878	767.131155353439	449.12842613743
Sept2|Sept2	10169.6203372396	14678.1052398673	10613.4703343219	23619.1910698414	19234.0175680915	22395.3235507552	14837.1643219855	12256.9185012632	10892.9515119336	14400.8210426349
Gm41920|Gm41920	0	0	0	382.426812669587	0	339.515990915371	0	0	191.977097641641	0
Thap4|Thap4	1705.40786154081	263.318791205491	423.826185273742	80.3187577921805	97.9617568137618	334.211053557319	1026.82658460155	909.616060906734	1064.81224197995	949.527220555389
Neu4|Neu4	0	1041.77094578872	70.3251413617935	0	0	0	314.765532475988	101.068451211859	0	0
Pam|Pam	35675.0432820322	40355.5221220804	37807.7336646517	27978.3091063807	22171.58130202	20040.9923512514	34637.6436865497	35742.699851619	31312.4750311287	28949.3007459176
Gm17634|Gm17634	37.0905393766089	191.736983887494	27.1923879932268	0	0	0	0	0	42.7479367218228	73.8293303239611
Tfcp2l1|Tfcp2l1	0	46.0168761329985	31.8807307506797	700.96370436812	234.592628159272	324.662166312824	198.647759824785	93.1724784609328	235.502269576588	144.582438551091
C1ql2|C1ql2	10514.789438377	8706.13731505146	4139.80665483091	601.477970284624	864.899195026766	2750.07952641451	4168.72400327955	12338.2470205978	9186.14298391316	6528.76869684251
Gm41941|Gm41941	121.111965311376	0	0	0	0	0	53.740456764193	15.791945501853	188.09092157602	131.252142798153
Gm41949|Gm41949	5951.13919548773	3903.76499194937	5542.55880786082	13614.0294457746	9725.28230473464	7380.22885252288	6372.08273061146	6289.14229611296	5188.04504760304	6328.81426054844
Dyrk3|Dyrk3	0	631.453800269479	469.771944296781	0	7.73382290634962	0	68.1352219688876	6.31677820074121	111.144635476739	182.522511078682
Mapkapk2|Mapkapk2	412.537631841874	740.104757805726	536.346411452612	0	0	0	553.718634873918	204.505694248997	84.7186382305216	325.054134898551
Dstyk|Dstyk	2604.66420397778	3107.41738553665	2882.39312728204	1578.99376114173	917.746984886821	634.4705080231	1603.57684380297	1917.93178120005	1863.03280585835	1733.96385524748
Gm10538|Gm10538	140.035709891278	189.180490768994	0	0	0	0	5.75790608187783	0	3.10894085249621	20.5081473122114
Lrrn2|Lrrn2	9813.85393913743	12714.7185248593	15153.6614606393	3010.12799089331	4579.71213104336	4587.70982724395	10264.4272419609	16125.1555519421	17655.6751013259	6106.30086221095
LOC105246710|LOC105246710	0	0	0	53.8500762470301	76.0492585791046	0	283.09704902566	0	0	0
Zc3h11a|Zc3h11a	6076.03590971509	9378.49500521694	6550.55250071319	10777.3169546599	13575.4371416124	14938.7036002763	9319.17099351926	6570.23892604595	7784.01065943737	9679.84553136379
Tnni1|Tnni1	0	365.578515945488	0	0	0	0	27.8298793957428	20.5295291524089	52.8519944924355	143.55703118548
